FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,age
Rinat Fakhretdinov,182.88,170 lbs.,74,Orthodox,1991-09-28,1629.0
Maiquel Falcao,180.34,185 lbs.,,Orthodox,1981-03-08,1549.0
Pedro Falcao,167.64000000000001,135 lbs.,66,Orthodox,1992-07-30,1705.0
Brodie Farber,185.42,170 lbs.,,Orthodox,1980-07-05,1463.0
Joao Paulo Faria,175.26,155 lbs.,,,,
Kalindra Faria,170.18,125 lbs.,,Switch,1986-07-23,1628.0
Jair Farias,185.42,145 lbs.,76,Orthodox,1993-03-16,
Chance Farrar,175.26,145 lbs.,,Southpaw,1975-09-11,
Rico Farrington,193.04,170 lbs.,79,Southpaw,1989-06-19,
Kelly Faszholz,172.72,135 lbs.,,Orthodox,1985-04-09,1610.0
Rodney Faverus,182.88,215 lbs.,,Southpaw,,
Paul Felder,180.34,155 lbs.,70,Orthodox,1984-04-25,1588.0
Carlos Felipe,182.88,245 lbs.,75,Orthodox,1995-01-12,1342.0
Luis Felipe Dias,,185 lbs.,,,1995-01-17,
JP Felty,,170 lbs.,,,1979-04-28,
Feng Pengchao,,135 lbs.,,,,
Feng Xiaocan,170.18,115 lbs.,67,Southpaw,2001-10-27,1204.0
Kevin Ferguson,187.96,235 lbs.,77,Orthodox,1974-02-08,1869.0
Rhadi Ferguson,170.18,205 lbs.,,,,
Tony Ferguson,180.34,170 lbs.,76,Orthodox,1984-02-12,1424.0
Josh Ferguson,165.1,125 lbs.,,Orthodox,1988-05-13,1229.0
CJ Fernandes,187.96,170 lbs.,,,1977-11-13,
Bibiano Fernandes,170.18,139 lbs.,,Orthodox,1980-03-30,
Gabriella Fernandes,167.64000000000001,125 lbs.,66,Southpaw,1993-08-13,1541.0
Kaue Fernandes,175.26,155 lbs.,73,Orthodox,1995-03-17,1533.0
Emily Fernandez,,--,,,,
Luke Fernandez,,205 lbs.,,Orthodox,1995-06-29,
Lucas Fernando,190.5,185 lbs.,80,,1997-01-10,
Alexandre Ferreira,170.18,205 lbs.,,Orthodox,1979-04-25,1646.0
Cezar Ferreira,185.42,185 lbs.,78,Southpaw,1985-02-15,1586.0
Diego Ferreira,175.26,155 lbs.,74,Orthodox,1985-01-18,1536.0
Erisson Ferreira,167.64000000000001,125 lbs.,70,Orthodox,1991-05-03,
Brunno Ferreira,177.8,185 lbs.,72,Orthodox,1992-11-04,1576.0
Scott Ferrozzo,180.34,323 lbs.,,Orthodox,1965-04-26,
Timo Feucht,190.5,205 lbs.,79,Orthodox,1996-01-18,
Andre Fialho,182.88,170 lbs.,74,Orthodox,1994-04-07,1450.0
Drew Fickett,177.8,155 lbs.,70,Orthodox,1979-12-14,1312.0
Scott Fiedler,193.04,235 lbs.,,Orthodox,,
Ron Fields,187.96,200 lbs.,,Orthodox,1974-11-18,
Michal Figlak,177.8,155 lbs.,70,Orthodox,1996-08-15,1359.0
Deiveson Figueiredo,165.1,135 lbs.,68,Orthodox,1987-12-18,1537.0
Francisco Figueiredo,167.64000000000001,125 lbs.,68,Southpaw,1989-10-23,1696.0
Anthony Figueroa,162.56,135 lbs.,,Orthodox,,
Edwin Figueroa,170.18,135 lbs.,69,Orthodox,1984-07-31,1390.0
Jonathan Figueroa,,185 lbs.,,,1995-02-05,
Paulo Filho,172.72,185 lbs.,,Southpaw,1978-05-24,
Jafel Filho,170.18,125 lbs.,68,Orthodox,1993-05-05,1558.0
Andre Fili,180.34,145 lbs.,74,Orthodox,1990-06-25,1216.0
Mirko Filipovic,187.96,230 lbs.,73,Southpaw,1974-09-10,1701.0
Brady Fink,182.88,183 lbs.,,Orthodox,,
Jesse Finney,182.88,170 lbs.,,,1974-07-11,
Jan Finney,172.72,135 lbs.,,Orthodox,,
Torrez Finney,172.72,185 lbs.,75,Orthodox,1998-10-24,1380.0
Luigi Fioravanti,172.72,170 lbs.,70,Orthodox,1981-01-22,1315.0
Nick Fiore,177.8,155 lbs.,72,Orthodox,1997-12-10,1309.0
Manon Fiorot,170.18,125 lbs.,65,Orthodox,1990-02-17,1613.0
Luiz Firmino,167.64000000000001,154 lbs.,,Orthodox,1982-03-18,
Spencer Fisher,170.18,155 lbs.,68,Southpaw,1976-05-09,1555.0
Chris Fishgold,172.72,145 lbs.,68,Orthodox,1992-06-06,1377.0
Bryanna Fissori,162.56,145 lbs.,,,,
Jon Fitch,182.88,170 lbs.,74,Orthodox,1978-02-24,1589.0
Isi Fitikefu,177.8,205 lbs.,,,,
Rafael Fiziev,172.72,155 lbs.,71,Switch,1993-03-05,1363.0
Colin Fletcher,187.96,155 lbs.,,Orthodox,1983-01-08,1575.0
AJ Fletcher,177.8,170 lbs.,67,Switch,1997-02-18,1307.0
Nathan Fletcher,170.18,135 lbs.,70,Orthodox,1998-01-03,1392.0
Jimmy Flick,170.18,125 lbs.,68,Orthodox,1990-09-07,1688.0
Luke Flores,182.88,155 lbs.,73,Southpaw,1988-03-17,
Ty Flores,190.5,205 lbs.,73,Switch,1993-12-22,
Alejandro Flores,177.8,145 lbs.,73,Orthodox,1991-08-06,
Kenny Florian,177.8,145 lbs.,74,Southpaw,1976-05-26,1506.0
Darrius Flowers,175.26,155 lbs.,71,Orthodox,1994-08-25,1509.0
Cody Floyd,,--,,,1988-07-18,
Bobby Flynn,,170 lbs.,,,,
Caros Fodor,175.26,155 lbs.,74,Orthodox,1984-01-07,1520.0
Mal Foki,170.18,220 lbs.,,Orthodox,,
Matt Foki,170.18,220 lbs.,,Orthodox,,
AJ Fonseca,162.56,145 lbs.,,,,
Rob Font,172.72,135 lbs.,71,Orthodox,1987-06-25,1410.0
Claudionor Fontinelle,165.1,185 lbs.,,Orthodox,,
Jesse Forbes,187.96,185 lbs.,75,Southpaw,1984-10-24,1130.0
Sterling Ford,177.8,155 lbs.,,,1986-03-12,
Codale Ford,175.26,170 lbs.,,,1979-05-13,
Raheam Forest,180.34,170 lbs.,73,Switch,1997-07-11,
Jussier Formiga,165.1,125 lbs.,67,Orthodox,1985-04-14,1433.0
Carol Foro,157.48000000000002,115 lbs.,61,Orthodox,1997-03-21,
Renee Forte,170.18,155 lbs.,71,Orthodox,1987-03-27,1333.0
Brianna Fortino,152.4,115 lbs.,62,Southpaw,1993-08-04,1353.0
Marcel Fortuna,185.42,205 lbs.,74,Orthodox,1985-10-22,1632.0
Brian Foster,175.26,170 lbs.,71,Orthodox,1984-04-03,1328.0
Xavier Foupa-Pokam,185.42,185 lbs.,,Open Stance,1982-07-03,1398.0
Mason Fowler,180.34,170 lbs.,,,,
Brandon Foxworth,180.34,145 lbs.,,Orthodox,1979-04-28,
Hermes Franca,167.64000000000001,155 lbs.,71,Orthodox,1974-08-26,1535.0
Glaico Franca Moreira,182.88,155 lbs.,77,Orthodox,1991-02-28,1274.0
Francisco France,182.88,205 lbs.,,,1983-01-21,
John Franchi,167.64000000000001,145 lbs.,67,Orthodox,1982-07-16,
Felipe Franco,185.42,205 lbs.,76,Orthodox,2001-01-22,
Rich Franklin,185.42,185 lbs.,76,Southpaw,1974-10-05,1671.0
Xavier Franklin,167.64000000000001,135 lbs.,66,Southpaw,1996-10-15,
Zoila Frausto,162.56,135 lbs.,,Orthodox,,
Stephanie Frausto,157.48000000000002,115 lbs.,61,Orthodox,1990-09-20,
Zane Frazier,195.57999999999998,250 lbs.,,Orthodox,,
Gary Frazier,182.88,245 lbs.,,Orthodox,,
Justin Frazier,182.88,265 lbs.,75,Southpaw,1989-06-15,1537.0
Ian Freeman,180.34,225 lbs.,,Orthodox,1966-11-10,1880.0
Jason Freeman,187.96,225 lbs.,,,1976-09-02,
Kennedy Freeman,,125 lbs.,,,1996-11-26,
Denzel Freeman,,265 lbs.,,,,
Willamy Freire,172.72,155 lbs.,,Orthodox,1987-07-28,1225.0
Patricio Freire,167.64000000000001,145 lbs.,67,Orthodox,1987-07-07,1970.0
Patricky Freire,170.18,155 lbs.,71,,1986-06-01,
JeremyFreitag,185.42,205 lbs.,,,,
Rafael Freitas,,205 lbs.,,Orthodox,,
Donavon Frelow,170.18,135 lbs.,,Orthodox,1985-01-20,
Josh Fremd,193.04,185 lbs.,76,Orthodox,1994-01-15,1473.0
Clay French,170.18,161 lbs.,,Southpaw,1980-10-07,
Mike French,177.8,145 lbs.,,,1975-05-29,
Matt Frevola,175.26,155 lbs.,71,Orthodox,1990-06-11,1504.0
Jinh Yu Frey,160.02,115 lbs.,65,Southpaw,1985-05-20,1831.0
Artem Frolov,177.8,185 lbs.,,,1991-09-07,
Sarah Frota,167.64000000000001,125 lbs.,69,Southpaw,1987-04-14,1659.0
Daniel Frunza,185.42,170 lbs.,73,Orthodox,1994-04-13,1616.0
Don Frye,185.42,219 lbs.,,Orthodox,1965-11-23,
Allen Frye Jr.,,265 lbs.,,,1998-04-15,
Tony Fryklund,182.88,185 lbs.,,Orthodox,1971-03-26,1752.0
Adam Fugitt,185.42,170 lbs.,77,Southpaw,1989-01-12,1750.0
Jesse Fujarczyk,193.04,225 lbs.,,Southpaw,1983-01-28,
Katsuhisa Fujii,182.88,205 lbs.,,Orthodox,1972-08-15,
Megumi Fujii,160.02,113 lbs.,,,1974-04-26,
Kazuyuki Fujita,182.88,235 lbs.,,Orthodox,1970-10-16,
Keisuke Fujiwara,167.64000000000001,139 lbs.,,Switch,,
Riki Fukuda,182.88,185 lbs.,73,Southpaw,1981-01-06,1572.0
Masio Fullen,177.8,145 lbs.,70,Orthodox,1986-10-06,1497.0
Travis Fulton,182.88,240 lbs.,,Orthodox,1977-05-29,
Sam Fulton,,--,,,,
Masakatsu Funaki,182.88,185 lbs.,,Southpaw,1969-03-13,
Ricardo Funch,177.8,170 lbs.,74,Southpaw,1980-08-14,1530.0
Katsuaki Furuki,182.88,168 lbs.,,,1980-11-10,
James Gabert,,178 lbs.,,,,
Gustavo Gabriel,167.64000000000001,125 lbs.,,Orthodox,1994-04-01,
Claudia Gadelha,162.56,115 lbs.,63,Orthodox,1988-12-07,1439.0
Alavutdin Gadjiev,187.96,185 lbs.,,Orthodox,1982-06-23,
Magomed Gadzhiyasulov,187.96,205 lbs.,75,Orthodox,1993-11-04,1598.0
Justin Gaethje,180.34,155 lbs.,70,Orthodox,1988-11-14,1494.0
Sheila Gaff,165.1,135 lbs.,,Orthodox,1989-12-29,1217.0
Muin Gafurov,170.18,135 lbs.,68,Orthodox,1996-05-17,1411.0
Mitch Gagnon,165.1,135 lbs.,65,Southpaw,1984-10-10,1449.0
Brandon Gaines,190.5,185 lbs.,,,,
Travis Galbraith,182.88,170 lbs.,,Orthodox,1981-05-18,
Dave Galera,180.34,135 lbs.,,Orthodox,1978-01-12,1877.0
Zelg Galesic,187.96,185 lbs.,,Orthodox,1979-02-16,
Mickey Gall,187.96,170 lbs.,74,Switch,1992-01-22,1285.0
Daniel Gallemore,195.57999999999998,265 lbs.,,,,
Tom Gallicchio,177.8,170 lbs.,,Southpaw,1986-09-23,1606.0
Turrell Galloway,160.02,145 lbs.,,,,
Eric Galvan,,155 lbs.,,,,
Andre Galvao,170.18,168 lbs.,,Orthodox,1982-09-29,
Marcos Galvao,170.18,135 lbs.,,Orthodox,1981-06-23,
Lucas Gamaza,,170 lbs.,,,,
Joey Gambino,170.18,145 lbs.,,Orthodox,1988-10-26,1234.0
Manvel Gamburyan,165.1,135 lbs.,67,Orthodox,1981-05-08,1363.0
Mateusz Gamrot,177.8,155 lbs.,70,Southpaw,1990-12-11,1582.0
Shamil Gamzatov,187.96,205 lbs.,76,Orthodox,1990-08-09,1526.0
Ryan Gandra,185.42,185 lbs.,74,Orthodox,1995-05-08,
Ariel Gandulla,180.34,205 lbs.,,Orthodox,1968-05-07,
Ciryl Gane,193.04,245 lbs.,81,Orthodox,1990-04-12,1600.0
Sean Gannon,190.5,265 lbs.,,Southpaw,,
Tommy Gantt,180.34,155 lbs.,76,Orthodox,1993-01-09,
Junye Gao,,125 lbs.,,,,
Eduardo Garagorri,175.26,145 lbs.,70,Orthodox,1989-05-28,1589.0
Cody Garbrandt,172.72,135 lbs.,65,Orthodox,1991-07-07,1225.0
Leonard Garcia,177.8,145 lbs.,68,Orthodox,1979-07-14,1447.0
Edgar Garcia,177.8,170 lbs.,71,Orthodox,1984-02-22,1321.0
Alejandro Garcia,170.18,145 lbs.,,,,
Alex Garcia,175.26,170 lbs.,72,Orthodox,1987-07-14,1377.0
Nick Garcia,162.56,125 lbs.,,,,
Steve Garcia,182.88,145 lbs.,75,Southpaw,1992-05-22,1449.0
Elias Garcia,165.1,125 lbs.,67,Southpaw,1992-09-13,1347.0
Rafa Garcia,170.18,155 lbs.,70,Orthodox,1994-08-05,1388.0
Fernie Garcia,170.18,135 lbs.,67,Orthodox,1992-04-12,1568.0
Rulon Gardner,190.5,265 lbs.,,Orthodox,1971-08-16,
David Gardner,180.34,155 lbs.,,Orthodox,1977-05-17,
Pablo Garza,185.42,145 lbs.,73,Orthodox,1983-09-16,1420.0
Azamat Gashimov,167.64000000000001,125 lbs.,,Orthodox,1990-04-07,1180.0
Brian Gassaway,185.42,170 lbs.,,Orthodox,1972-08-07,1723.0
Kelvin Gastelum,175.26,185 lbs.,71,Southpaw,1991-10-24,1120.0
Willie Gates,172.72,125 lbs.,72,Orthodox,1987-01-21,1455.0
Melissa Gatto,165.1,135 lbs.,69,Orthodox,1996-05-02,1318.0
Sean Gauci,165.1,125 lbs.,64,Switch,1996-10-07,
Louis Gaudinot,160.02,125 lbs.,63,Orthodox,1984-08-28,1540.0
Ateba Gautier,193.04,185 lbs.,81,Switch,2002-04-10,1198.0
Manuel Gaxhja,172.72,155 lbs.,,Switch,1997-07-23,
Shamil Gaziev,193.04,265 lbs.,78,Orthodox,1990-02-10,1766.0
Charlene Gellner,157.48000000000002,125 lbs.,,,,
Chad George,167.64000000000001,135 lbs.,68,Southpaw,1982-04-30,
Paul Georgieff,187.96,170 lbs.,,Orthodox,1982-09-22,1315.0
Brian Geraghty,170.18,155 lbs.,,Orthodox,1980-11-04,1389.0
Derek Getzel,182.88,155 lbs.,,,,
Karine Gevorgyan,162.56,125 lbs.,63,,1989-03-09,1499.0
Yanis Ghemmouri,175.26,135 lbs.,69,Orthodox,1995-01-24,1492.0
Darrel Gholar,172.72,194 lbs.,,Orthodox,,
Tiki Ghosn,177.8,170 lbs.,,Orthodox,1977-02-09,1345.0
Christos Giagos,177.8,155 lbs.,71,Orthodox,1990-01-23,1291.0
Joe Giannetti,182.88,155 lbs.,74,Southpaw,1995-07-05,1200.0
Nick Gibbons,177.8,155 lbs.,,,,
James Giboo,180.34,170 lbs.,,Orthodox,1978-01-06,1593.0
Lance Gibson,175.26,185 lbs.,,Orthodox,1970-11-20,
Lee Gibson,170.18,155 lbs.,,,,
Cody Gibson,177.8,135 lbs.,71,Orthodox,1987-09-11,1398.0
Chase Gibson,177.8,155 lbs.,72,Orthodox,1990-02-07,
Kenny Giddens,180.34,155 lbs.,,,,
Thomas Gifford,185.42,155 lbs.,75,Orthodox,1992-07-26,1395.0
Joseph Gigliotti,180.34,185 lbs.,,Orthodox,1993-08-13,1199.0
Joey Gilbert,180.34,155 lbs.,,Orthodox,1976-06-05,1299.0
Trevin Giles,182.88,170 lbs.,74,Orthodox,1992-08-06,1322.0
Kultar Gill,182.88,154 lbs.,,Orthodox,1979-03-24,
Jesse Gillespie,,185 lbs.,,,,
Gregor Gillespie,170.18,155 lbs.,71,Orthodox,1986-11-13,1558.0
Jason Gilliam,182.88,170 lbs.,,Orthodox,,
Micheal Gillmore,180.34,170 lbs.,72,Orthodox,1987-03-28,1796.0
Krishaun Gilmore,,--,,,,
Alex Gilpin,170.18,145 lbs.,,Orthodox,1992-03-26,
Bob Gilstrap,190.5,200 lbs.,,Orthodox,,
Eperaim Ginting,162.56,135 lbs.,64,Orthodox,1995-11-30,
Demetrius Gioulacos,180.34,185 lbs.,,,,
Billy Giovanella,172.72,125 lbs.,,,1985-08-20,
He-Man Gipson,,--,,,,
Israel Giron,172.72,155 lbs.,,,1974-01-16,
Brandon Girtz,170.18,155 lbs.,,,1985-03-06,
Jason Glaza,182.88,230 lbs.,,,,
Mike Glenn,,205 lbs.,,,1977-10-09,
Ricky Glenn,182.88,170 lbs.,70,Southpaw,1989-04-12,1431.0
Ivan Gnizditskiy,,205 lbs.,,,1996-05-10,
Mark Godbeer,193.04,240 lbs.,77,Orthodox,1983-11-22,1721.0
Clint Godfrey,167.64000000000001,135 lbs.,,Southpaw,1982-10-21,
Loopy Godinez,157.48000000000002,115 lbs.,61,Orthodox,1993-09-06,1440.0
Jason Godsey,187.96,230 lbs.,,Orthodox,,
Allan Goes,182.88,205 lbs.,,Orthodox,1971-04-20,
Billy Ray Goff,177.8,170 lbs.,72,Switch,1998-06-18,1314.0
Amiran Gogoladze,185.42,170 lbs.,74,Switch,1997-12-09,
Jonny Goh,180.34,155 lbs.,,,,
Hannah Goldy,162.56,115 lbs.,61,Orthodox,1992-05-18,1419.0
Marcelo Golm,190.5,249 lbs.,75,Orthodox,1992-09-15,1324.0
Denise Gomes,157.48000000000002,115 lbs.,63,Orthodox,1999-12-30,1215.0
Sergio Gomez,167.64000000000001,155 lbs.,,Orthodox,1982-04-29,
Frank Gomez,177.8,135 lbs.,67,Orthodox,1986-03-31,
Alan Gomez,,155 lbs.,,,,
David Gomez,,155 lbs.,,,1983-08-08,
Ulysses Gomez,167.64000000000001,125 lbs.,,Orthodox,1983-05-25,1523.0
Joey Gomez,177.8,135 lbs.,73,Orthodox,1986-07-21,1538.0
Luis Gomez,170.18,145 lbs.,68,Orthodox,1995-01-28,
Edson Gomez,172.72,170 lbs.,69,Switch,1991-02-23,
Silvana Gomez Juarez,160.02,115 lbs.,65,Orthodox,1984-12-06,1922.0
Takanori Gomi,170.18,155 lbs.,70,Southpaw,1978-09-22,1644.0
William Gomis,182.88,145 lbs.,73,Southpaw,1997-06-13,1349.0
Akihiro Gono,170.18,170 lbs.,68,Switch,1974-10-07,1775.0
Gabriel Gonzaga,187.96,242 lbs.,76,Orthodox,1979-05-18,1475.0
Justin Gonzales,175.26,145 lbs.,72,Orthodox,1991-04-28,
Fernando Gonzalez,175.26,170 lbs.,68,Southpaw,1983-09-15,
Nick Gonzalez,167.64000000000001,155 lbs.,,Orthodox,1981-03-03,
Fabian Gonzalez,177.8,135 lbs.,,,,
Lewis Gonzalez,177.8,170 lbs.,,Orthodox,1987-09-19,1449.0
Jason Gonzalez,187.96,155 lbs.,74,Southpaw,1990-02-28,1384.0
Pearl Gonzalez,162.56,115 lbs.,,Orthodox,1986-08-12,1599.0
Jorge Gonzalez,187.96,205 lbs.,76,Orthodox,1984-02-29,
Mikey Gonzalez,180.34,155 lbs.,74,Orthodox,1985-08-13,
Erick Gonzalez,180.34,155 lbs.,75,Orthodox,1992-01-20,1551.0
Jennifer Gonzalez,157.48000000000002,125 lbs.,,,1986-03-22,
Kier Gooch,,155 lbs.,,,1986-04-21,
Lyman Good,182.88,170 lbs.,74,Orthodox,1985-05-26,1572.0
Jared Gooden,182.88,170 lbs.,77,Orthodox,1993-12-05,1406.0
Gary Goodridge,190.5,249 lbs.,,Orthodox,1966-01-17,
Jordan Goodwin,,155 lbs.,,,,
Gerard Gordeau,195.57999999999998,216 lbs.,,Orthodox,1959-03-30,
Eddie Gordon,182.88,185 lbs.,76,Orthodox,1983-07-22,1615.0
Jared Gordon,175.26,155 lbs.,68,Orthodox,1988-09-06,1520.0
Tebaris Gordon,185.42,265 lbs.,,Orthodox,1988-07-19,
Malcolm Gordon,170.18,125 lbs.,71,Switch,1990-05-19,1593.0
Tresean Gore,182.88,185 lbs.,75,Switch,1994-06-21,1463.0
Alex Gorgees,187.96,155 lbs.,74,Switch,1995-08-11,1216.0
Themba Gorimbo,185.42,170 lbs.,77,Orthodox,1991-01-23,1673.0
Tim Gorman,165.1,135 lbs.,,Southpaw,1983-04-29,1615.0
Chase Gormley,190.5,265 lbs.,,Orthodox,,
Jonathan Goulet,182.88,170 lbs.,73,Orthodox,1979-07-13,1383.0
Thibault Gouti,177.8,155 lbs.,72,Orthodox,1987-02-27,1513.0
Wilson Gouveia,185.42,185 lbs.,76,Orthodox,1978-10-03,1446.0
Todd Gouwenberg,185.42,205 lbs.,,Orthodox,1974-09-25,
Hugo Govea,,--,,,,
Justin Governale,,145 lbs.,,,,
Damian Grabowski,185.42,241 lbs.,75,Orthodox,1980-05-12,1864.0
Patryk Grabowski,,205 lbs.,,,1995-11-12,
Royce Gracie,185.42,175 lbs.,,Southpaw,1966-12-12,2058.0
Crosley Gracie,175.26,190 lbs.,,Orthodox,1979-07-18,
Daniel Gracie,187.96,225 lbs.,,Orthodox,,
Ralph Gracie,175.26,183 lbs.,,Orthodox,,
Renzo Gracie,177.8,185 lbs.,,Orthodox,1967-03-11,2248.0
Rickson Gracie,177.8,185 lbs.,,Switch,1958-11-20,
Rodrigo Gracie,182.88,183 lbs.,,Orthodox,1975-04-11,
Royler Gracie,172.72,150 lbs.,,Southpaw,1965-12-06,
Ryan Gracie,175.26,200 lbs.,,Orthodox,1974-08-14,
Ralek Gracie,187.96,210 lbs.,,Orthodox,1985-10-04,
Rolles Gracie,193.04,242 lbs.,,Orthodox,1978-07-14,1647.0
Cesar Gracie,177.8,181 lbs.,,Orthodox,,
Roger Gracie,193.04,185 lbs.,79,Orthodox,1981-09-26,1658.0
Igor Gracie,180.34,170 lbs.,,,1980-02-04,
Neiman Gracie,182.88,170 lbs.,,,,
Kron Gracie,175.26,145 lbs.,70,Southpaw,1988-07-11,1596.0
Bogdan Grad,172.72,145 lbs.,70,Orthodox,1995-09-28,1551.0
Steven Graham,185.42,290 lbs.,,Orthodox,,
Scott Graham,193.04,185 lbs.,,Orthodox,,
Miranda Granger,170.18,115 lbs.,68,Orthodox,1992-04-13,1491.0
TJ Grant,177.8,155 lbs.,72,Orthodox,1984-02-26,1323.0
Davey Grant,172.72,135 lbs.,69,Orthodox,1985-12-18,1458.0
Dwight Grant,185.42,185 lbs.,76,Switch,1984-09-14,1787.0
Alexa Grasso,165.1,125 lbs.,66,Orthodox,1993-08-09,1251.0
Tony Gravely,165.1,135 lbs.,69,Orthodox,1991-09-28,1478.0
Michael Graves,177.8,170 lbs.,71,Orthodox,1991-01-08,1318.0
Shelton Graves,187.96,255 lbs.,76,Southpaw,1985-10-23,
James Gray,175.26,135 lbs.,,Orthodox,1987-10-25,
Kevin Gray,162.56,125 lbs.,67,Orthodox,1985-05-03,
Sam Greco,187.96,205 lbs.,,Orthodox,1967-05-03,
King Green,177.8,155 lbs.,71,Orthodox,1986-09-09,1377.0
Desmond Green,177.8,155 lbs.,73,Southpaw,1989-10-11,1434.0
Gabe Green,177.8,155 lbs.,73,Switch,1993-05-02,1412.0
Maurice Greene,200.66,258 lbs.,80,Orthodox,1986-07-05,1750.0
Matt Grice,172.72,145 lbs.,70,Orthodox,1981-07-29,1342.0
Forrest Griffin,190.5,205 lbs.,77,Orthodox,1979-03-16,1413.0
Tyson Griffin,167.64000000000001,145 lbs.,68,Orthodox,1984-04-20,1189.0
Max Griffin,180.34,170 lbs.,76,Orthodox,1985-11-29,1603.0
Jordan Griffin,177.8,145 lbs.,73,Southpaw,1990-02-28,1502.0
Chad Griggs,185.42,205 lbs.,73,Orthodox,1978-05-15,1770.0
Charalampos Grigoriou,170.18,135 lbs.,67,Orthodox,1992-03-31,1688.0
Chuck Grigsby,198.12,205 lbs.,,Orthodox,,
Rodrigo Gripp de Sousa,180.34,205 lbs.,,Orthodox,,
Maxim Grishin,190.5,205 lbs.,78,Orthodox,1984-05-02,1888.0
Josh Grispi,180.34,145 lbs.,74,Orthodox,1988-10-14,1159.0
Garrett Gross,175.26,155 lbs.,,Orthodox,1988-08-08,
Kendall Grove,198.12,185 lbs.,79,Orthodox,1982-11-12,1293.0
Neil Grove,198.12,265 lbs.,,Orthodox,1971-01-18,1987.0
Chris Gruetzemacher,172.72,155 lbs.,68,Orthodox,1986-06-16,1598.0
Vik Grujic,180.34,170 lbs.,73,Orthodox,1977-02-06,1940.0
Mike Grundy,170.18,145 lbs.,72,Orthodox,1987-01-03,1751.0
Wang Guan,175.26,145 lbs.,71,Orthodox,1986-03-14,1654.0
Anthony Guarascio,187.96,233 lbs.,72,Orthodox,1994-02-26,
Nandor Guelmino,190.5,230 lbs.,,,1975-12-20,1970.0
Fabricio Guerreiro,177.8,145 lbs.,,,1990-07-24,
Rainn Guerrero,167.64000000000001,125 lbs.,65,Orthodox,1992-05-13,
Shannon Gugerty,177.8,155 lbs.,71,Orthodox,1981-12-30,1399.0
Clay Guida,170.18,155 lbs.,70,Orthodox,1981-12-08,1311.0
Jason Guida,177.8,214 lbs.,,,1977-08-04,
Melvin Guillard,175.26,155 lbs.,71,Orthodox,1983-03-30,1189.0
Chris Guillen,182.88,240 lbs.,,Orthodox,1972-12-09,
Marcelo Guimaraes,182.88,185 lbs.,73,Orthodox,1983-06-25,1706.0
Leonardo Guimaraes,182.88,185 lbs.,,Orthodox,1982-04-15,1766.0
Brad Gumm,180.34,170 lbs.,,Orthodox,,
John Gunderson,175.26,155 lbs.,69,Orthodox,1979-01-05,1617.0
John Gunther,175.26,155 lbs.,72,Orthodox,1985-11-24,1719.0
Jorge Gurgel,170.18,155 lbs.,69,Orthodox,1977-01-25,1535.0
Fabio Gurgel,182.88,205 lbs.,,Orthodox,,
Luis Gurule,165.1,125 lbs.,64,Orthodox,1993-11-16,1637.0
Bogdan Guskov,190.5,205 lbs.,76,Orthodox,1992-09-12,1616.0
Gugun Gusman,170.18,135 lbs.,68,Orthodox,1990-03-03,
Andre Gusmao,182.88,205 lbs.,,Orthodox,1977-05-19,1629.0
Alexander Gustafsson,195.57999999999998,205 lbs.,79,Orthodox,1987-01-15,1239.0
Andreas Gustafsson,185.42,170 lbs.,73,Orthodox,1991-02-20,1789.0
Justin Guthrie,185.42,170 lbs.,,,1981-01-19,
Horacio Gutierrez,177.8,145 lbs.,,,1990-09-15,1351.0
Chris Gutierrez,175.26,135 lbs.,67,Orthodox,1991-04-22,1440.0
Mando Gutierrez,167.64000000000001,135 lbs.,70,Southpaw,1997-02-24,
Mike Guymon,182.88,170 lbs.,74,Orthodox,1974-09-17,1842.0
Chelsea Hackett,162.56,125 lbs.,66,Switch,1998-08-16,
Keith Hackney,180.34,200 lbs.,,Sideways,,
Cody Haddon,170.18,135 lbs.,69,Orthodox,1998-09-08,1361.0
Jake Hadley,170.18,135 lbs.,70,Southpaw,1996-08-03,1370.0
Steve Hadsel,172.72,170 lbs.,,,,
Damir Hadzovic,175.26,155 lbs.,70,Orthodox,1986-08-08,1548.0
Bassil Hafez,180.34,170 lbs.,72,Orthodox,1992-01-31,1641.0
Tim Hague,193.04,260 lbs.,76,Orthodox,1983-05-09,1372.0
Theo Haig,187.96,185 lbs.,77,Orthodox,1996-08-23,
Yazan Hajeh,175.26,145 lbs.,,Orthodox,1992-09-04,
Stoney Hale,182.88,--,,,1979-10-18,
Kevin Haley,187.96,205 lbs.,,,,
Mark Hall,182.88,190 lbs.,,Orthodox,,
Uriah Hall,182.88,185 lbs.,79,Orthodox,1984-07-31,1534.0
Ryan Hall,177.8,145 lbs.,70,Southpaw,1985-02-22,1607.0
Dennis Hallman,175.26,155 lbs.,72,Orthodox,1975-12-02,1347.0
Piotr Hallmann,175.26,155 lbs.,71,Orthodox,1987-08-25,1358.0
Tony Halme,190.5,300 lbs.,,Orthodox,1963-01-06,
Brandon Halsey,182.88,185 lbs.,,,1986-09-16,
John Halverson,175.26,155 lbs.,,Southpaw,1972-09-08,1795.0
Seo Hee Ham,157.48000000000002,115 lbs.,62,Southpaw,1987-03-08,1448.0
Frank Hamaker,,--,,,,
Kazuhiro Hamanaka,182.88,185 lbs.,,Southpaw,1978-10-24,
